rgn_id,sciname,iucn_sid,year,category
1.0,Alopias vulpinus,39339,2016,VU
1.0,Balaenoptera acutorostrata,2474,2016,LC
1.0,Balaenoptera borealis,2475,2016,EN
1.0,Balaenoptera musculus,2477,2016,EN
1.0,Balaenoptera physalus,2478,2016,EN
1.0,Balaenoptera physalus,16208224,2016,VU
1.0,Carcharodon carcharias,3855,2016,VU
1.0,Caretta caretta,3897,2016,VU
1.0,Caretta caretta,83644804,2016,LC
1.0,Cetorhinus maximus,4292,2016,VU
1.0,Cetorhinus maximus,39340,2016,EN
1.0,Dermochelys coriacea,6494,2016,VU
1.0,Dermochelys coriacea,46967827,2016,LC
1.0,Eubalaena glacialis,41712,2016,EN
1.0,Isurus oxyrinchus,39341,2016,VU
1.0,Isurus paucus,60225,2016,VU
1.0,Lamna nasus,11200,2016,VU
1.0,Lamna nasus,39343,2016,CR
1.0,Lamna nasus,61420,2016,CR
1.0,Megaptera novaeangliae,13006,2016,LC
1.0,Prionace glauca,39381,2016,NT
1.0,Steno bredanensis,20738,2016,LC
1.0,Alopias vulpinus,39339,2015,VU
1.0,Balaenoptera acutorostrata,2474,2015,LC
1.0,Balaenoptera borealis,2475,2015,EN
1.0,Balaenoptera musculus,2477,2015,EN
1.0,Balaenoptera physalus,2478,2015,EN
1.0,Balaenoptera physalus,16208224,2015,VU
1.0,Carcharodon carcharias,3855,2015,VU
1.0,Caretta caretta,3897,2015,VU
1.0,Caretta caretta,83644804,2015,LC
1.0,Cetorhinus maximus,4292,2015,VU
1.0,Cetorhinus maximus,39340,2015,EN
1.0,Dermochelys coriacea,6494,2015,VU
1.0,Dermochelys coriacea,46967827,2015,LC
1.0,Eubalaena glacialis,41712,2015,EN
1.0,Isurus oxyrinchus,39341,2015,VU
1.0,Isurus paucus,60225,2015,VU
1.0,Lamna nasus,11200,2015,VU
1.0,Lamna nasus,39343,2015,CR
1.0,Lamna nasus,61420,2015,CR
1.0,Megaptera novaeangliae,13006,2015,LC
1.0,Prionace glauca,39381,2015,NT
1.0,Steno bredanensis,20738,2015,LC
1.0,Alopias vulpinus,39339,2014,VU
1.0,Balaenoptera acutorostrata,2474,2014,LC
1.0,Balaenoptera borealis,2475,2014,EN
1.0,Balaenoptera musculus,2477,2014,EN
1.0,Balaenoptera physalus,2478,2014,EN
1.0,Balaenoptera physalus,16208224,2014,VU
1.0,Carcharodon carcharias,3855,2014,VU
1.0,Caretta caretta,3897,2014,EN
