rgn_id,habitat,km2
1.0,mangrove,0.0
1.0,mangrove_inland1km,0.0
1.0,mangrove_offshore,0.0
1.0,rocky_reef,54.1415
1.0,seagrass,509.105
1.0,soft_bottom,66099.0
2.0,mangrove,0.0
2.0,mangrove_inland1km,0.0
2.0,mangrove_offshore,0.0
2.0,rocky_reef,54.1415
2.0,seagrass,509.105
2.0,soft_bottom,66099.0
3.0,mangrove,0.0
3.0,mangrove_inland1km,0.0
3.0,mangrove_offshore,0.0
3.0,rocky_reef,54.1415
3.0,seagrass,509.105
3.0,soft_bottom,66099.0
4.0,mangrove,0.0
4.0,mangrove_inland1km,0.0
4.0,mangrove_offshore,0.0
4.0,rocky_reef,54.1415
4.0,seagrass,509.105
4.0,soft_bottom,66099.0
5.0,mangrove,0.0
5.0,mangrove_inland1km,0.0
5.0,mangrove_offshore,0.0
5.0,rocky_reef,54.1415
5.0,seagrass,509.105
5.0,soft_bottom,66099.0
6.0,mangrove,0.0
6.0,mangrove_inland1km,0.0
6.0,mangrove_offshore,0.0
6.0,rocky_reef,54.1415
6.0,seagrass,509.105
6.0,soft_bottom,66099.0
7.0,mangrove,0.0
7.0,mangrove_inland1km,0.0
7.0,mangrove_offshore,0.0
7.0,rocky_reef,54.1415
7.0,seagrass,509.105
7.0,soft_bottom,66099.0
8.0,mangrove,0.0
8.0,mangrove_inland1km,0.0
8.0,mangrove_offshore,0.0
8.0,rocky_reef,54.1415
8.0,seagrass,509.105
8.0,soft_bottom,66099.0
9.0,mangrove,0.0
9.0,mangrove_inland1km,0.0
9.0,mangrove_offshore,0.0
9.0,rocky_reef,54.1415
9.0,seagrass,509.105
9.0,soft_bottom,66099.0
10.0,mangrove,0.0
10.0,mangrove_inland1km,0.0
10.0,mangrove_offshore,0.0
10.0,rocky_reef,54.1415
10.0,seagrass,509.105
10.0,soft_bottom,66099.0
