rgn_id,level,georgn_id
1.0,r2,39
1.0,r1,150
1.0,r0,1
2.0,r2,39
2.0,r1,150
2.0,r0,1
3.0,r2,39
3.0,r1,150
3.0,r0,1
4.0,r2,39
4.0,r1,150
4.0,r0,1
5.0,r2,39
5.0,r1,150
5.0,r0,1
6.0,r2,39
6.0,r1,150
6.0,r0,1
7.0,r2,39
7.0,r1,150
7.0,r0,1
8.0,r2,39
8.0,r1,150
8.0,r0,1
9.0,r2,39
9.0,r1,150
9.0,r0,1
10.0,r2,39
10.0,r1,150
10.0,r0,1
