rgn_id,year,U
1.0,1989,
1.0,1990,
1.0,1991,0.164
1.0,1992,0.184
1.0,1993,0.228
1.0,1994,0.243
1.0,1995,0.231
1.0,1996,0.225
1.0,1997,0.211
1.0,1998,0.19
1.0,1999,0.159
1.0,2000,0.142
1.0,2001,0.107
1.0,2002,0.116
1.0,2003,0.115
1.0,2004,0.112
1.0,2005,0.093
1.0,2006,0.086
1.0,2007,0.084
1.0,2008,0.115
1.0,2009,0.181
1.0,2010,0.202
1.0,2011,0.217
1.0,2012,0.252
1.0,2013,0.266
2.0,1989,
2.0,1990,
2.0,1991,0.164
2.0,1992,0.184
2.0,1993,0.228
2.0,1994,0.243
2.0,1995,0.231
2.0,1996,0.225
2.0,1997,0.211
2.0,1998,0.19
2.0,1999,0.159
2.0,2000,0.142
2.0,2001,0.107
2.0,2002,0.116
2.0,2003,0.115
2.0,2004,0.112
2.0,2005,0.093
2.0,2006,0.086
2.0,2007,0.084
2.0,2008,0.115
2.0,2009,0.181
2.0,2010,0.202
2.0,2011,0.217
2.0,2012,0.252
2.0,2013,0.266
3.0,1989,
3.0,1990,
3.0,1991,0.164
3.0,1992,0.184
3.0,1993,0.228
3.0,1994,0.243
3.0,1995,0.231
3.0,1996,0.225
3.0,1997,0.211
3.0,1998,0.19
3.0,1999,0.159
3.0,2000,0.142
3.0,2001,0.107
3.0,2002,0.116
3.0,2003,0.115
3.0,2004,0.112
3.0,2005,0.093
3.0,2006,0.086
3.0,2007,0.084
3.0,2008,0.115
3.0,2009,0.181
3.0,2010,0.202
3.0,2011,0.217
3.0,2012,0.252
3.0,2013,0.266
4.0,1989,
4.0,1990,
4.0,1991,0.164
4.0,1992,0.184
4.0,1993,0.228
4.0,1994,0.243
4.0,1995,0.231
4.0,1996,0.225
4.0,1997,0.211
4.0,1998,0.19
4.0,1999,0.159
4.0,2000,0.142
4.0,2001,0.107
4.0,2002,0.116
4.0,2003,0.115
4.0,2004,0.112
4.0,2005,0.093
4.0,2006,0.086
4.0,2007,0.084
4.0,2008,0.115
4.0,2009,0.181
4.0,2010,0.202
4.0,2011,0.217
4.0,2012,0.252
4.0,2013,0.266
5.0,1989,
5.0,1990,
5.0,1991,0.164
5.0,1992,0.184
5.0,1993,0.228
5.0,1994,0.243
5.0,1995,0.231
5.0,1996,0.225
5.0,1997,0.211
5.0,1998,0.19
5.0,1999,0.159
5.0,2000,0.142
5.0,2001,0.107
5.0,2002,0.116
5.0,2003,0.115
5.0,2004,0.112
5.0,2005,0.093
5.0,2006,0.086
5.0,2007,0.084
5.0,2008,0.115
5.0,2009,0.181
5.0,2010,0.202
5.0,2011,0.217
5.0,2012,0.252
5.0,2013,0.266
6.0,1989,
6.0,1990,
6.0,1991,0.164
6.0,1992,0.184
6.0,1993,0.228
6.0,1994,0.243
6.0,1995,0.231
6.0,1996,0.225
6.0,1997,0.211
6.0,1998,0.19
6.0,1999,0.159
6.0,2000,0.142
6.0,2001,0.107
6.0,2002,0.116
6.0,2003,0.115
6.0,2004,0.112
6.0,2005,0.093
6.0,2006,0.086
6.0,2007,0.084
6.0,2008,0.115
6.0,2009,0.181
6.0,2010,0.202
6.0,2011,0.217
6.0,2012,0.252
6.0,2013,0.266
7.0,1989,
7.0,1990,
7.0,1991,0.164
7.0,1992,0.184
7.0,1993,0.228
7.0,1994,0.243
7.0,1995,0.231
7.0,1996,0.225
7.0,1997,0.211
7.0,1998,0.19
7.0,1999,0.159
7.0,2000,0.142
7.0,2001,0.107
7.0,2002,0.116
7.0,2003,0.115
7.0,2004,0.112
7.0,2005,0.093
7.0,2006,0.086
7.0,2007,0.084
7.0,2008,0.115
7.0,2009,0.181
7.0,2010,0.202
7.0,2011,0.217
7.0,2012,0.252
7.0,2013,0.266
8.0,1989,
8.0,1990,
8.0,1991,0.164
8.0,1992,0.184
8.0,1993,0.228
8.0,1994,0.243
8.0,1995,0.231
8.0,1996,0.225
8.0,1997,0.211
8.0,1998,0.19
8.0,1999,0.159
8.0,2000,0.142
8.0,2001,0.107
8.0,2002,0.116
8.0,2003,0.115
8.0,2004,0.112
8.0,2005,0.093
8.0,2006,0.086
8.0,2007,0.084
8.0,2008,0.115
8.0,2009,0.181
8.0,2010,0.202
8.0,2011,0.217
8.0,2012,0.252
8.0,2013,0.266
9.0,1989,
9.0,1990,
9.0,1991,0.164
9.0,1992,0.184
9.0,1993,0.228
9.0,1994,0.243
9.0,1995,0.231
9.0,1996,0.225
9.0,1997,0.211
9.0,1998,0.19
9.0,1999,0.159
9.0,2000,0.142
9.0,2001,0.107
9.0,2002,0.116
9.0,2003,0.115
9.0,2004,0.112
9.0,2005,0.093
9.0,2006,0.086
9.0,2007,0.084
9.0,2008,0.115
9.0,2009,0.181
9.0,2010,0.202
9.0,2011,0.217
9.0,2012,0.252
9.0,2013,0.266
10.0,1989,
10.0,1990,
10.0,1991,0.164
10.0,1992,0.184
10.0,1993,0.228
10.0,1994,0.243
10.0,1995,0.231
10.0,1996,0.225
10.0,1997,0.211
10.0,1998,0.19
10.0,1999,0.159
10.0,2000,0.142
10.0,2001,0.107
10.0,2002,0.116
10.0,2003,0.115
10.0,2004,0.112
10.0,2005,0.093
10.0,2006,0.086
10.0,2007,0.084
10.0,2008,0.115
10.0,2009,0.181
10.0,2010,0.202
10.0,2011,0.217
10.0,2012,0.252
10.0,2013,0.266
