rgn_id,year,a_prot_3nm
1.0,2000,2026.25
1.0,2001,2045.75
1.0,2002,2093.5
1.0,2003,2287.75
1.0,2004,2593.0
1.0,2005,2644.25
1.0,2006,3347.5
1.0,2007,3450.75
1.0,2008,3466.5
1.0,2009,3614.75
1.0,2010,3628.5
1.0,2011,3633.0
1.0,2012,3633.0
1.0,2013,3691.25
1.0,2014,11497.25
1.0,2015,11497.25
2.0,2000,2026.25
2.0,2001,2045.75
2.0,2002,2093.5
2.0,2003,2287.75
2.0,2004,2593.0
2.0,2005,2644.25
2.0,2006,3347.5
2.0,2007,3450.75
2.0,2008,3466.5
2.0,2009,3614.75
2.0,2010,3628.5
2.0,2011,3633.0
2.0,2012,3633.0
2.0,2013,3691.25
2.0,2014,11497.25
2.0,2015,11497.25
3.0,2000,2026.25
3.0,2001,2045.75
3.0,2002,2093.5
3.0,2003,2287.75
3.0,2004,2593.0
3.0,2005,2644.25
3.0,2006,3347.5
3.0,2007,3450.75
3.0,2008,3466.5
3.0,2009,3614.75
3.0,2010,3628.5
3.0,2011,3633.0
3.0,2012,3633.0
3.0,2013,3691.25
3.0,2014,11497.25
3.0,2015,11497.25
4.0,2000,2026.25
4.0,2001,2045.75
4.0,2002,2093.5
4.0,2003,2287.75
4.0,2004,2593.0
4.0,2005,2644.25
4.0,2006,3347.5
4.0,2007,3450.75
4.0,2008,3466.5
4.0,2009,3614.75
4.0,2010,3628.5
4.0,2011,3633.0
4.0,2012,3633.0
4.0,2013,3691.25
4.0,2014,11497.25
4.0,2015,11497.25
5.0,2000,2026.25
5.0,2001,2045.75
5.0,2002,2093.5
5.0,2003,2287.75
5.0,2004,2593.0
5.0,2005,2644.25
5.0,2006,3347.5
5.0,2007,3450.75
5.0,2008,3466.5
5.0,2009,3614.75
5.0,2010,3628.5
5.0,2011,3633.0
5.0,2012,3633.0
5.0,2013,3691.25
5.0,2014,11497.25
5.0,2015,11497.25
6.0,2000,2026.25
6.0,2001,2045.75
6.0,2002,2093.5
6.0,2003,2287.75
6.0,2004,2593.0
6.0,2005,2644.25
6.0,2006,3347.5
6.0,2007,3450.75
6.0,2008,3466.5
6.0,2009,3614.75
6.0,2010,3628.5
6.0,2011,3633.0
6.0,2012,3633.0
6.0,2013,3691.25
6.0,2014,11497.25
6.0,2015,11497.25
7.0,2000,2026.25
7.0,2001,2045.75
7.0,2002,2093.5
7.0,2003,2287.75
7.0,2004,2593.0
7.0,2005,2644.25
7.0,2006,3347.5
7.0,2007,3450.75
7.0,2008,3466.5
7.0,2009,3614.75
7.0,2010,3628.5
7.0,2011,3633.0
7.0,2012,3633.0
7.0,2013,3691.25
7.0,2014,11497.25
7.0,2015,11497.25
8.0,2000,2026.25
8.0,2001,2045.75
8.0,2002,2093.5
8.0,2003,2287.75
8.0,2004,2593.0
8.0,2005,2644.25
8.0,2006,3347.5
8.0,2007,3450.75
8.0,2008,3466.5
8.0,2009,3614.75
8.0,2010,3628.5
8.0,2011,3633.0
8.0,2012,3633.0
8.0,2013,3691.25
8.0,2014,11497.25
8.0,2015,11497.25
9.0,2000,2026.25
9.0,2001,2045.75
9.0,2002,2093.5
9.0,2003,2287.75
9.0,2004,2593.0
9.0,2005,2644.25
9.0,2006,3347.5
9.0,2007,3450.75
9.0,2008,3466.5
9.0,2009,3614.75
9.0,2010,3628.5
9.0,2011,3633.0
9.0,2012,3633.0
9.0,2013,3691.25
9.0,2014,11497.25
9.0,2015,11497.25
10.0,2000,2026.25
10.0,2001,2045.75
10.0,2002,2093.5
10.0,2003,2287.75
10.0,2004,2593.0
10.0,2005,2644.25
10.0,2006,3347.5
10.0,2007,3450.75
10.0,2008,3466.5
10.0,2009,3614.75
10.0,2010,3628.5
10.0,2011,3633.0
10.0,2012,3633.0
10.0,2013,3691.25
10.0,2014,11497.25
10.0,2015,11497.25
