rgn_id,year,Ed
1.0,1989,716309.0
1.0,1990,645648.0
1.0,1991,647260.0
1.0,1992,638898.0
1.0,1993,620555.0
1.0,1994,641931.0
1.0,1995,647326.0
1.0,1996,673687.0
1.0,1997,731306.0
1.0,1998,765921.0
1.0,1999,816462.0
1.0,2000,904365.0
1.0,2001,919103.0
1.0,2002,883362.0
1.0,2003,905271.0
1.0,2004,953211.0
1.0,2005,1017530.0
1.0,2006,1057410.0
1.0,2007,1099370.0
1.0,2008,1006060.0
1.0,2009,867893.0
1.0,2010,855028.0
1.0,2011,859130.0
1.0,2012,850903.0
1.0,2013,842550.0
2.0,1989,716309.0
2.0,1990,645648.0
2.0,1991,647260.0
2.0,1992,638898.0
2.0,1993,620555.0
2.0,1994,641931.0
2.0,1995,647326.0
2.0,1996,673687.0
2.0,1997,731306.0
2.0,1998,765921.0
2.0,1999,816462.0
2.0,2000,904365.0
2.0,2001,919103.0
2.0,2002,883362.0
2.0,2003,905271.0
2.0,2004,953211.0
2.0,2005,1017530.0
2.0,2006,1057410.0
2.0,2007,1099370.0
2.0,2008,1006060.0
2.0,2009,867893.0
2.0,2010,855028.0
2.0,2011,859130.0
2.0,2012,850903.0
2.0,2013,842550.0
3.0,1989,716309.0
3.0,1990,645648.0
3.0,1991,647260.0
3.0,1992,638898.0
3.0,1993,620555.0
3.0,1994,641931.0
3.0,1995,647326.0
3.0,1996,673687.0
3.0,1997,731306.0
3.0,1998,765921.0
3.0,1999,816462.0
3.0,2000,904365.0
3.0,2001,919103.0
3.0,2002,883362.0
3.0,2003,905271.0
3.0,2004,953211.0
3.0,2005,1017530.0
3.0,2006,1057410.0
3.0,2007,1099370.0
3.0,2008,1006060.0
3.0,2009,867893.0
3.0,2010,855028.0
3.0,2011,859130.0
3.0,2012,850903.0
3.0,2013,842550.0
4.0,1989,716309.0
4.0,1990,645648.0
4.0,1991,647260.0
4.0,1992,638898.0
4.0,1993,620555.0
4.0,1994,641931.0
4.0,1995,647326.0
4.0,1996,673687.0
4.0,1997,731306.0
4.0,1998,765921.0
4.0,1999,816462.0
4.0,2000,904365.0
4.0,2001,919103.0
4.0,2002,883362.0
4.0,2003,905271.0
4.0,2004,953211.0
4.0,2005,1017530.0
4.0,2006,1057410.0
4.0,2007,1099370.0
4.0,2008,1006060.0
4.0,2009,867893.0
4.0,2010,855028.0
4.0,2011,859130.0
4.0,2012,850903.0
4.0,2013,842550.0
5.0,1989,716309.0
5.0,1990,645648.0
5.0,1991,647260.0
5.0,1992,638898.0
5.0,1993,620555.0
5.0,1994,641931.0
5.0,1995,647326.0
5.0,1996,673687.0
5.0,1997,731306.0
5.0,1998,765921.0
5.0,1999,816462.0
5.0,2000,904365.0
5.0,2001,919103.0
5.0,2002,883362.0
5.0,2003,905271.0
