" ""Región"" ,""rgn_id"",""Municipio"",""Year"",""Valor"",""Original Value"",""My score"",""Original final value"""
,,,,Ría de Vigo,4,Cangas,2015,5.71,0.57,0.37,0.58
,,,,Ría de Vigo,8,Moaña,2015,5.71,0.57,0.37,,
,,,,Ría de Vigo,2,Vilaboa,2015,5.71,0.57,0.37,,
,,,,Ría de Vigo,6,Pontevedra,2015,5.71,0.57,0.37,,
,,,,Ría de Vigo,9,Sutomaior,2015,5.71,0.57,0.37,,
,,,,Ría de Vigo,7,Redondela,2015,5.71,0.57,0.37,,
,,,,Ría de Vigo,1,Vigo,2015,5.71,0.57,0.37,,
,,,,Ría de Vigo,5,Nigrán,2015,5.71,0.57,0.37,,
,,,,Ría de Vigo,10,Gondomar,2015,5.71,0.57,0.37,,
,,,,Ría de Vigo,3,Baiona,2015,5.71,0.57,0.37,,
,,,,Ría de Vigo,4,Cangas,2014,5.73,0.57,0.37,,
,,,,Ría de Vigo,8,Moaña,2014,5.73,0.57,0.37,,
,,,,Ría de Vigo,2,Vilaboa,2014,5.73,0.57,0.37,,
,,,,Ría de Vigo,6,Pontevedra,2014,5.73,0.57,0.37,,
,,,,Ría de Vigo,9,Sutomaior,2014,5.73,0.57,0.37,,
,,,,Ría de Vigo,7,Redondela,2014,5.73,0.57,0.37,,
,,,,Ría de Vigo,1,Vigo,2014,5.73,0.57,0.37,,
,,,,Ría de Vigo,5,Nigrán,2014,5.73,0.57,0.37,,
,,,,Ría de Vigo,10,Gondomar,2014,5,73,0,57,0,37,,
,,,,Ría de Vigo,3,Baiona,2014,5.73,0.57,0.37,,
,,,,Ría de Vigo,4,Cangas,2013,5,61,0.56,0.36,,
,,,,Ría de Vigo,8,Moaña,2013,5.61,0.56,0.36,,
,,,,Ría de Vigo,2,Vilaboa,2013,5.61,0.56,0.36,,
,,,,Ría de Vigo,6,Pontevedra,2013,5.61,0.56,0.36,,
,,,,Ría de Vigo,9,Sutomaior,2013,5.61,0.56,0.36,,
,,,,Ría de Vigo,7,Redondela,2013,5.61,0.56,0.36,,
,,,,Ría de Vigo,1,Vigo,2013,5.61,0.56,0.36,,
,,,,Ría de Vigo,5,Nigrán,2013,5.61,0.56,0.36,,
,,,,Ría de Vigo,10,Gondomar,2013,5.61,0.56,0.36,,
,,,,Ría de Vigo,3,Baiona,2013,5.61,0.56,0.36,,
,,,,Ría de Vigo,4,Cangas,2012,5.74,0.57,0.37,,
,,,,Ría de Vigo,8,Moaña,2012,5.74,0.57,0.37,,
,,,,Ría de Vigo,2,Vilaboa,2012,5.74,0.57,0.37,,
,,,,Ría de Vigo,6,Pontevedra,2012,5.74,0.57,0.37,,
,,,,Ría de Vigo,9,Sutomaior,2012,5.74,0,57,0,37,,
,,,,Ría de Vigo,7,Redondela,2012,5.74,0.57,0.37,,
,,,,Ría de Vigo,1,Vigo,2012,5.74,0.57,0.37,,
,,,,Ría de Vigo,5,Nigrán,2012,5.74,0.57,0.37,,
,,,,Ría de Vigo,10,Gondomar,2012,5.74,0.57,0.37,,
,,,,Ría de Vigo,3,Baiona,2012,5.74,0.57,0.37,,
,,,,Ría de Vigo,4,Cangas,2011,5.92,0.59,0.39,,
,,,,Ría de Vigo,8,Moaña,2011,5.92,0.59,0.39,,
,,,,Ría de Vigo,2,Vilaboa,2011,5.92,0.59,0.39,,
,,,,Ría de Vigo,6,Pontevedra,2011,5.92,0.59,0.39,,
,,,,Ría de Vigo,9,Sutomaior,2011,5.92,0.59,0.39,,
,,,,Ría de Vigo,7,Redondela,2011,5.92,0.59,0.39,,
,,,,Ría de Vigo,1,Vigo,2011,5.92,0.59,0.39,,
,,,,Ría de Vigo,5,Nigrán,2011,5.92,0.59,0.39,,
,,,,Ría de Vigo,10,Gondomar,2011,5.92,0.59,0.39,,
,,,,Ría de Vigo,3,Baiona,2011,5.92,0.59,0.39,,
,,,,Ría de Vigo,4,Cangas,2010,6.36,0.64,0.44,,
,,,,Ría de Vigo,8,Moaña,2010,6.36,0.64,0.44,,
,,,,Ría de Vigo,2,Vilaboa,2010,6.36.,0.64,0.44,,
,,,,Ría de Vigo,6,Pontevedra,2010,6.36,0.64,0.44,,
,,,,Ría de Vigo,9,Sutomaior,2010,6.36,0.64,0.44,,
,,,,Ría de Vigo,7,Redondela,2010,6.36,0.64,0.44,,
,,,,Ría de Vigo,1,Vigo,2010,6.36,0.64,0.44,,
,,,,Ría de Vigo,5,Nigrán,2010,6.36,0.64,0.44,,
,,,,Ría de Vigo,10,Gondomar,2010,6.36,0.64,0.44,,
,,,,Ría de Vigo,3,Baiona,2010,6.36,0.64,0.44,,
