",,""Region"",""rgn_id"",""Municipio"",""Valor"",""Value (50%+50%/2)"""
,,Ría de Vigo,4,Cangas,0.06804734,0.29400000
,,Ría de Vigo,8,Moaña,0.06804734,0.29400000
,,Ría de Vigo,2,Vilaboa,0.06804734,0.29400000
,,Ría de Vigo,6,Pontevedra,0.06804734,0.29400000
,,Ría de Vigo,9,Soutomaior,0.06804734,0.29400000
,,Ría de Vigo,7,Redondela,0.06804734,0.29400000
,,Ría de Vigo,1,Vigo,0.06804734,0.29400000
,,Ría de Vigo,5,Nigrán,0.06804734,0.29400000
,,Ría de Vigo,10,Gondomar,0.06804734,0.29400000
,,Ría de Vigo,3,Baiona,0.06804734,0.29400000
